Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,SF,23,TOR,6,0,10.2,1.0,2.3,.429,0.3,0.8,.400,0.7,1.5,.444,0.8,1.3,.625,0.8,1.7,2.5,0.7,0.7,0.5,0.3,1.3,3.2
2,Steven Adams,C,20,OKC,17,2,16.9,1.5,3.1,.491,0.0,0.0,,1.5,3.1,.491,1.3,2.1,.629,2.3,2.7,5.0,0.8,0.4,0.9,0.8,2.6,4.4
3,Jeff Adrien,PF,27,CHA,13,0,13.5,1.2,2.2,.536,0.0,0.0,,1.2,2.2,.536,0.8,1.3,.588,2.1,2.7,4.8,0.3,0.3,0.8,0.2,1.4,3.1
4,Arron Afflalo,SG,28,ORL,18,18,37.2,7.8,15.9,.488,2.4,5.3,.463,5.3,10.7,.500,4.6,5.3,.854,0.3,4.3,4.6,4.2,0.9,0.1,2.3,1.8,22.6
5,Cole Aldrich,C,25,NYK,6,0,3.3,0.3,0.8,.400,0.0,0.0,,0.3,0.8,.400,0.3,0.3,1.000,0.5,1.3,1.8,0.5,0.2,0.2,0.3,0.3,1.0
6,LaMarcus Aldridge,PF,28,POR,19,19,37.2,9.7,20.5,.476,0.0,0.1,.000,9.7,20.4,.478,4.1,5.2,.786,1.9,7.8,9.7,2.6,1.2,0.9,2.0,1.8,23.5
7,Lavoy Allen,PF,24,PHI,19,2,20.1,2.2,4.7,.461,0.0,0.1,.000,2.2,4.6,.471,0.6,1.0,.579,1.8,3.4,5.2,1.0,0.4,0.6,1.0,2.0,4.9
8,Ray Allen,SG,38,MIA,16,1,25.3,3.5,7.7,.455,1.6,3.9,.397,1.9,3.8,.517,1.4,1.6,.880,0.4,2.2,2.6,2.3,0.9,0.2,1.4,1.7,9.9
9,Tony Allen,SG,32,MEM,16,16,25.3,4.3,8.0,.531,0.3,1.2,.263,3.9,6.8,.578,1.6,2.3,.722,1.4,1.9,3.3,1.9,2.3,0.5,1.9,2.2,10.4
10,Al-Farouq Aminu,SF,23,NOP,17,16,22.6,2.6,5.4,.495,0.1,0.3,.200,2.6,5.1,.512,0.8,1.6,.481,2.0,4.4,6.4,1.4,1.4,0.4,0.9,1.5,6.1
11,Louis Amundson,PF,31,NOP,11,0,8.9,0.5,1.3,.429,0.0,0.0,,0.5,1.3,.429,0.3,1.1,.250,0.7,1.3,2.0,0.2,0.3,0.6,0.5,2.5,1.4
12,Chris Andersen,C,35,MIA,18,0,17.1,2.3,3.8,.618,0.0,0.1,.000,2.3,3.7,.627,1.6,2.2,.725,1.4,2.8,4.3,0.4,0.4,1.1,0.9,2.3,6.3
13,Alan Anderson,SF,31,BRK,19,4,23.7,2.8,6.9,.405,1.4,3.7,.366,1.4,3.2,.450,0.9,1.3,.750,0.7,2.2,2.8,1.2,0.9,0.2,0.7,2.1,7.9
14,James Anderson,SG,24,PHI,19,17,32.7,3.9,8.9,.435,1.6,4.7,.337,2.3,4.3,.543,1.0,1.5,.679,0.7,3.0,3.7,1.9,1.1,0.5,1.6,1.8,10.4
15,Ryan Anderson,PF,25,NOP,9,2,35.2,7.8,15.9,.490,4.0,7.6,.529,3.8,8.3,.453,2.6,2.6,1.000,2.8,3.6,6.3,0.4,0.2,0.3,0.9,2.2,22.1
16,Giannis Antetokounmpo,SF,19,MIL,13,0,16.2,2.1,4.1,.509,0.5,1.2,.400,1.6,2.9,.553,0.6,1.2,.500,0.7,2.5,3.2,0.9,0.5,0.7,1.0,1.8,5.2
17,Carmelo Anthony,PF,29,NYK,17,17,39.9,9.3,21.6,.431,1.1,3.9,.288,8.2,17.7,.462,6.2,7.4,.833,2.8,7.1,9.9,2.7,1.1,0.6,2.6,3.2,25.9
18,Joel Anthony,C,31,MIA,6,0,5.0,0.2,0.7,.250,0.0,0.0,,0.2,0.7,.250,0.0,0.0,,0.3,0.5,0.8,0.0,0.0,0.7,0.2,0.7,0.3
19,Pero Antic,PF,31,ATL,12,0,11.7,1.3,3.7,.341,0.6,1.9,.304,0.7,1.8,.381,0.7,0.9,.727,1.0,1.5,2.5,0.8,0.3,0.3,0.5,1.1,3.8
20,Trevor Ariza,SF,28,WAS,13,13,35.2,5.7,11.9,.477,2.6,6.1,.430,3.1,5.8,.526,1.9,2.8,.676,1.4,4.3,5.7,2.2,2.0,0.2,2.2,2.2,15.9
21,Darrell Arthur,SF,25,DEN,18,0,17.7,2.8,5.7,.485,0.0,0.1,.000,2.8,5.6,.495,0.5,0.6,.900,0.6,2.2,2.8,0.8,0.4,0.6,0.8,2.6,6.1
22,Omer Asik,C,27,HOU,17,8,18.3,1.5,3.1,.472,0.0,0.0,,1.5,3.1,.472,1.5,2.3,.641,1.6,5.1,6.8,0.4,0.2,0.4,1.2,2.0,4.4
23,D.J. Augustin,PG,26,TOR,10,0,8.2,0.7,2.4,.292,0.1,1.1,.091,0.6,1.3,.462,0.6,0.6,1.000,0.0,0.4,0.4,1.0,0.1,0.0,0.9,0.7,2.1
24,Gustavo Ayon,C,28,ATL,8,2,15.6,1.9,3.5,.536,0.0,0.0,,1.9,3.5,.536,0.4,0.5,.750,1.1,2.8,3.9,0.5,0.8,0.5,0.6,2.1,4.1
25,Jeff Ayres,PF,26,SAS,17,0,12.1,1.1,2.4,.450,0.0,0.0,,1.1,2.4,.450,0.4,0.6,.545,0.6,2.1,2.7,0.8,0.3,0.2,0.9,1.9,2.5
26,Jose Barea,PG,29,MIN,19,0,18.4,3.3,8.3,.401,0.8,2.8,.283,2.5,5.5,.462,0.5,0.6,.750,0.2,1.8,2.0,3.4,0.4,0.0,1.3,1.2,7.9
27,Andrea Bargnani,C,28,NYK,17,16,31.2,6.0,12.8,.470,1.1,3.3,.339,4.9,9.5,.516,2.2,2.7,.826,1.7,3.5,5.2,1.5,0.4,1.5,1.2,2.8,15.4
28,Harrison Barnes,SF,21,GSW,15,9,32.7,5.3,10.7,.500,1.0,2.1,.469,4.3,8.5,.508,1.9,2.7,.683,0.4,2.9,3.3,1.9,1.0,0.1,1.4,2.2,13.5
29,Matt Barnes,SF,33,LAC,8,0,20.0,1.6,4.8,.342,0.5,2.0,.250,1.1,2.8,.409,2.1,2.5,.850,1.0,3.3,4.3,1.6,1.0,0.1,1.3,2.9,5.9
30,Will Barton,SG,23,POR,6,0,2.8,0.3,0.8,.400,0.0,0.2,.000,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.3,1.0
31,Brandon Bass,PF,28,BOS,20,18,29.2,4.4,9.5,.466,0.1,0.1,.500,4.4,9.4,.465,2.3,2.6,.882,1.6,4.2,5.8,1.3,0.5,1.3,1.1,2.7,11.1
32,Shane Battier,SF,35,MIA,18,13,21.4,1.7,4.1,.405,1.0,3.1,.321,0.7,1.0,.667,0.4,0.5,.778,0.3,1.7,2.0,0.6,0.7,0.6,0.1,1.8,4.7
33,Nicolas Batum,SF,25,POR,19,19,35.8,4.7,10.3,.462,2.1,5.3,.400,2.6,5.0,.526,1.9,2.4,.800,1.4,4.9,6.3,5.0,1.3,0.5,2.4,2.2,13.5
34,Jerryd Bayless,PG,25,MEM,16,1,18.9,2.3,6.6,.340,0.6,2.4,.237,1.7,4.3,.397,1.4,1.8,.821,0.3,1.8,2.1,1.8,0.6,0.1,0.8,2.4,6.5
35,Aron Baynes,C,27,SAS,10,0,8.1,0.6,2.4,.250,0.0,0.0,,0.6,2.4,.250,0.3,0.4,.750,0.7,1.5,2.2,0.6,0.0,0.0,0.7,1.4,1.5
36,Kent Bazemore,SG,24,GSW,14,0,6.8,0.9,2.3,.375,0.3,0.8,.364,0.6,1.5,.381,0.5,1.0,.500,0.1,0.9,1.0,0.5,0.4,0.1,0.9,1.1,2.5
37,Bradley Beal,SG,20,WAS,13,13,40.2,7.8,19.1,.407,2.8,6.3,.439,5.0,12.8,.392,2.3,2.8,.811,0.8,3.3,4.2,3.5,0.9,0.2,2.5,2.3,20.6
38,Michael Beasley,SF,25,MIA,14,0,17.6,4.6,8.5,.546,0.6,1.3,.500,4.0,7.2,.554,1.4,1.9,.769,0.9,3.1,4.0,0.6,0.4,0.5,1.1,1.8,11.4
39,Marco Belinelli,SF,27,SAS,18,1,21.3,3.7,7.1,.516,1.5,2.7,.563,2.2,4.4,.488,0.6,0.7,.769,0.2,2.6,2.8,2.1,0.7,0.1,1.0,1.3,9.4
40,Anthony Bennett,SF,20,CLE,14,0,11.4,0.9,3.9,.241,0.3,1.4,.211,0.6,2.5,.257,0.2,0.6,.375,0.9,1.6,2.4,0.3,0.6,0.1,0.7,1.5,2.4
41,Patrick Beverley,SG,25,HOU,17,16,31.6,3.5,8.6,.404,1.7,4.8,.354,1.8,3.8,.469,0.9,1.1,.833,1.5,2.6,4.1,2.4,1.4,0.5,1.2,2.6,9.5
42,Andris Biedrins,C,27,UTA,2,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,0.5,1.0,0.0
43,Chauncey Billups,SG,37,DET,7,7,22.1,1.7,5.1,.333,1.0,3.0,.333,0.7,2.1,.333,0.9,1.1,.750,0.3,2.1,2.4,2.4,0.7,0.1,1.4,1.6,5.3
44,Bismack Biyombo,C,21,CHA,17,9,20.4,1.5,2.2,.658,0.0,0.0,,1.5,2.2,.658,0.9,1.8,.484,1.6,5.4,7.0,0.1,0.1,0.9,0.6,1.5,3.8
45,DeJuan Blair,PF,24,DAL,20,2,21.3,3.8,7.2,.528,0.0,0.1,.000,3.8,7.1,.535,1.1,2.0,.538,3.1,4.6,7.6,1.4,1.5,0.4,1.4,3.7,8.7
46,Steve Blake,PG,33,LAL,18,18,31.1,3.5,8.6,.406,2.0,4.7,.429,1.5,3.9,.380,1.0,1.2,.818,0.2,3.1,3.2,7.7,0.9,0.1,2.2,1.6,10.0
47,Andray Blatche,PF,27,BRK,19,5,22.2,4.3,9.0,.480,0.2,0.7,.308,4.1,8.3,.494,1.9,2.9,.673,1.8,3.8,5.6,1.2,1.1,0.4,1.9,2.0,10.8
48,Eric Bledsoe,PG,24,PHO,13,11,34.0,6.5,13.2,.491,1.2,3.5,.326,5.3,9.6,.552,4.8,6.0,.795,0.5,3.7,4.2,5.9,1.6,0.2,3.5,2.2,18.8
49,Keith Bogans,SG,33,BOS,4,0,7.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,0.0,0.0,,0.0,0.3,0.3,0.0,0.3,0.0,0.3,0.3,0.0
50,Andrew Bogut,C,29,GSW,18,18,27.9,3.4,5.9,.585,0.0,0.0,,3.4,5.9,.585,0.8,1.8,.424,2.3,6.9,9.2,2.0,0.8,1.7,1.8,3.7,7.7
51,Matt Bonner,PF,33,SAS,11,0,12.1,1.2,2.5,.464,0.8,1.9,.429,0.4,0.6,.571,0.0,0.0,,0.1,1.5,1.5,0.9,0.0,0.2,0.3,1.1,3.2
52,Trevor Booker,PF,26,WAS,10,3,14.0,1.8,3.6,.500,0.0,0.1,.000,1.8,3.5,.514,0.0,0.2,.000,1.6,2.1,3.7,1.0,0.7,0.2,0.7,1.5,3.6
53,Carlos Boozer,PF,32,CHI,17,17,30.2,6.6,13.4,.496,0.0,0.0,,6.6,13.4,.496,2.4,3.0,.804,2.3,6.5,8.8,1.9,0.5,0.5,2.4,3.0,15.7
54,Chris Bosh,C,29,MIA,18,18,28.5,5.1,9.9,.514,0.8,1.8,.438,4.3,8.2,.531,3.3,4.2,.776,1.0,4.6,5.6,0.7,0.8,1.2,1.4,3.2,14.3
55,Avery Bradley,PG,23,BOS,20,20,29.9,5.7,13.0,.436,0.8,2.5,.306,4.9,10.5,.467,0.8,1.1,.727,0.9,2.7,3.6,1.3,1.2,0.2,2.1,3.1,12.9
56,Elton Brand,PF,34,ATL,12,0,10.5,1.0,2.3,.444,0.0,0.0,,1.0,2.3,.444,0.6,0.8,.700,0.6,2.6,3.2,0.6,0.2,0.5,0.4,0.9,2.6
57,Corey Brewer,SF,27,MIN,19,19,34.4,5.4,11.5,.466,1.2,4.1,.295,4.2,7.4,.560,2.1,2.8,.741,0.9,1.6,2.5,1.5,1.9,0.4,1.8,2.7,14.1
58,Ronnie Brewer,SF,28,HOU,7,0,5.4,0.1,0.4,.333,0.1,0.4,.333,0.0,0.0,,0.0,0.3,.000,0.1,0.4,0.6,0.6,0.1,0.0,0.0,0.1,0.4
59,Aaron Brooks,PG,29,HOU,17,0,15.2,2.6,5.9,.446,1.2,2.4,.488,1.5,3.5,.417,0.9,1.0,.882,0.5,1.1,1.5,1.9,0.9,0.1,1.3,1.6,7.4
60,MarShon Brooks,SG,25,BOS,6,0,6.8,0.7,2.5,.267,0.0,0.2,.000,0.7,2.3,.286,0.8,1.0,.833,0.2,1.0,1.2,0.3,0.0,0.0,0.2,0.3,2.2
61,Lorenzo Brown,SG,23,PHI,6,0,4.8,0.7,2.3,.286,0.2,0.3,.500,0.5,2.0,.250,0.0,0.0,,0.3,0.5,0.8,0.3,0.3,0.0,0.0,0.2,1.5
62,Reggie Bullock,SF,22,LAC,16,0,10.5,1.1,2.7,.395,0.5,1.7,.296,0.6,1.0,.563,0.3,0.3,.800,0.3,1.2,1.4,0.2,0.1,0.1,0.3,0.5,2.9
63,Trey Burke,PG,21,UTA,8,6,27.4,5.0,12.6,.396,1.6,3.9,.419,3.4,8.8,.386,1.0,1.1,.889,0.4,2.9,3.3,4.1,0.8,0.0,1.3,1.8,12.6
64,Alec Burks,SG,22,UTA,20,3,26.7,4.1,10.2,.399,0.5,1.7,.303,3.6,8.5,.418,2.8,3.9,.727,0.9,1.9,2.8,2.6,0.9,0.3,1.8,2.2,11.4
65,Caron Butler,SF,33,MIL,12,10,29.5,4.6,11.9,.385,2.0,5.4,.369,2.6,6.5,.397,2.0,2.4,.828,0.8,4.8,5.6,1.5,1.0,0.1,2.0,2.1,13.2
66,Jimmy Butler,SG,24,CHI,9,9,29.8,3.3,7.7,.435,1.1,2.9,.385,2.2,4.8,.465,3.4,4.0,.861,1.2,3.6,4.8,1.7,1.8,0.8,1.3,1.0,11.2
67,Rasual Butler,SG,34,IND,6,0,1.5,0.3,0.5,.667,0.3,0.5,.667,0.0,0.0,,0.0,0.0,,0.2,0.2,0.3,0.2,0.0,0.0,0.0,0.2,1.0
68,Dwight Buycks,PG,24,TOR,10,0,10.2,1.0,3.2,.313,0.4,1.4,.286,0.6,1.8,.333,0.7,0.8,.875,0.3,1.2,1.5,0.7,0.3,0.0,0.6,0.9,3.1
69,Andrew Bynum,C,26,CLE,14,9,17.9,3.1,7.9,.400,0.0,0.0,,3.1,7.9,.400,1.6,1.8,.920,1.6,2.8,4.4,1.1,0.1,1.4,1.2,1.3,7.9
70,Will Bynum,PG,31,DET,10,3,18.9,2.9,7.0,.414,0.3,0.9,.333,2.6,6.1,.426,2.2,3.1,.710,0.4,1.2,1.6,3.1,1.1,0.2,1.6,2.5,8.3
71,Nick Calathes,SG,24,MEM,12,0,11.5,0.9,2.6,.355,0.0,0.3,.000,0.9,2.3,.407,0.3,0.9,.364,0.1,0.8,0.9,2.3,0.2,0.1,1.4,1.4,2.2
72,Jose Calderon,SG,32,DAL,19,19,31.2,3.8,8.8,.437,2.7,5.6,.477,1.2,3.2,.367,0.8,0.8,.938,0.3,1.5,1.8,4.7,0.9,0.1,1.4,1.9,11.2
73,Kentavious Caldwell-Pope,SG,20,DET,17,12,22.2,2.9,7.8,.368,0.9,3.1,.288,2.0,4.8,.420,0.9,1.2,.800,0.5,1.6,2.2,1.0,1.0,0.1,0.4,1.8,7.6
74,DeMarre Carroll,SF,27,ATL,20,20,31.2,3.4,7.7,.435,1.2,3.5,.348,2.2,4.3,.506,1.8,2.2,.795,1.5,4.6,6.0,1.6,1.3,0.3,1.0,2.2,9.7
75,Vince Carter,SG,37,DAL,19,0,24.4,3.8,9.9,.383,1.6,4.4,.357,2.2,5.5,.404,1.7,2.1,.800,0.8,2.7,3.5,2.4,0.6,0.5,1.1,2.3,10.8
76,Michael Carter-Williams,PG,22,PHI,15,15,36.7,6.3,15.5,.408,1.5,4.5,.324,4.9,11.0,.442,3.5,5.3,.671,1.7,4.1,5.8,7.3,3.1,0.7,3.7,2.7,17.7
77,Omri Casspi,PF,25,HOU,19,0,22.2,3.4,7.2,.474,1.3,3.1,.431,2.1,4.2,.506,1.3,1.8,.706,0.7,3.6,4.3,1.5,0.9,0.3,1.5,1.9,9.4
78,Mario Chalmers,PG,27,MIA,17,17,26.9,2.9,6.9,.419,1.4,3.5,.400,1.5,3.4,.439,1.5,2.1,.743,0.5,2.0,2.5,4.9,1.6,0.2,2.0,2.9,8.7
79,Tyson Chandler,C,31,NYK,4,4,26.8,3.0,5.0,.600,0.0,0.0,,3.0,5.0,.600,1.3,1.8,.714,3.8,5.3,9.0,1.3,1.0,2.5,1.8,2.5,7.3
80,Wilson Chandler,SF,26,DEN,12,9,27.9,3.8,9.3,.414,1.5,4.4,.340,2.3,4.8,.483,1.3,1.8,.727,0.7,3.3,3.9,1.7,1.3,0.6,0.8,2.6,10.5
81,Josh Childress,SF,30,NOP,3,0,7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.7,0.7,0.3,0.3,0.0,0.3,0.3,0.0
82,Dionte Christmas,SF,27,PHO,13,0,7.3,0.8,2.1,.370,0.3,1.0,.308,0.5,1.1,.429,0.2,0.3,.750,0.3,1.0,1.3,0.1,0.2,0.0,0.2,0.7,2.1
83,Earl Clark,PF,26,CLE,15,9,19.5,2.3,5.9,.398,1.1,2.4,.444,1.3,3.5,.365,0.3,0.7,.500,0.5,3.0,3.5,0.5,0.7,0.5,0.9,1.8,6.1
84,Ian Clark,SG,22,UTA,8,0,8.8,1.1,3.3,.346,0.4,1.4,.273,0.8,1.9,.400,0.1,0.4,.333,0.1,0.8,0.9,0.6,0.1,0.1,0.5,1.1,2.8
85,Victor Claver,SF,25,POR,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
86,Norris Cole,PG,25,MIA,19,2,24.6,2.9,6.5,.447,0.8,1.8,.457,2.1,4.6,.443,0.4,0.5,.800,0.2,2.7,2.9,3.4,0.8,0.1,1.6,1.7,7.1
87,Darren Collison,PG,26,LAC,20,1,17.3,2.7,6.2,.431,0.6,1.6,.375,2.1,4.6,.451,1.4,1.7,.824,0.6,1.5,2.1,2.0,0.8,0.3,1.3,1.6,7.3
88,Nick Collison,PF,33,OKC,16,0,17.2,1.6,3.1,.510,0.1,0.3,.200,1.5,2.8,.545,1.0,1.3,.800,1.0,2.3,3.3,0.9,0.5,0.2,0.9,2.5,4.2
89,Mike Conley,PG,26,MEM,18,18,33.8,7.0,14.3,.490,1.2,3.8,.319,5.8,10.4,.553,2.9,3.4,.869,0.5,1.5,2.0,6.4,1.5,0.2,1.8,2.2,18.2
90,Chris Copeland,SF,29,IND,10,0,6.6,1.0,2.6,.385,0.9,2.3,.391,0.1,0.3,.333,0.2,0.2,1.000,0.0,0.3,0.3,0.4,0.1,0.2,0.1,0.9,3.1
91,DeMarcus Cousins,C,23,SAC,15,15,30.6,8.5,17.5,.485,0.0,0.3,.000,8.5,17.2,.492,4.8,6.9,.699,2.3,7.7,10.1,2.6,1.6,1.2,2.8,4.3,21.7
92,Allen Crabbe,SG,21,POR,5,0,2.0,0.2,0.4,.500,0.0,0.0,,0.2,0.4,.500,0.4,0.6,.667,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.8
93,Jamal Crawford,SG,33,LAC,20,0,27.3,5.8,12.8,.449,2.0,5.4,.370,3.8,7.4,.507,2.3,2.8,.821,0.5,2.0,2.5,2.7,0.6,0.1,2.1,1.5,15.8
94,Jordan Crawford,SG,25,BOS,20,16,29.1,4.6,10.4,.442,1.3,3.3,.379,3.4,7.1,.472,2.6,3.0,.881,0.6,2.7,3.2,5.2,1.1,0.1,2.1,2.0,13.1
95,Jae Crowder,SF,23,DAL,20,1,16.8,2.3,4.9,.464,1.1,2.8,.400,1.2,2.1,.548,0.3,0.5,.600,0.5,1.9,2.3,1.0,0.5,0.3,0.8,1.4,5.9
96,Dante Cunningham,SF,26,MIN,19,0,19.2,2.7,5.8,.473,0.0,0.1,.000,2.7,5.7,.481,0.0,0.1,.000,1.5,2.4,3.8,1.1,0.7,0.8,0.4,1.8,5.5
97,Jared Cunningham,SG,22,ATL,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Stephen Curry,PG,25,GSW,16,16,36.1,8.1,17.5,.464,3.4,7.6,.443,4.8,9.9,.481,2.9,3.4,.870,0.6,3.6,4.3,8.8,1.9,0.3,3.8,2.4,22.6
99,Samuel Dalembert,C,32,DAL,20,17,23.2,3.0,4.9,.602,0.0,0.0,,3.0,4.9,.602,1.7,2.1,.786,2.4,4.5,6.9,0.5,0.7,1.5,1.2,2.8,7.6
100,Luigi Datome,SF,26,DET,11,0,6.5,1.2,3.0,.394,0.4,1.8,.200,0.8,1.2,.692,0.2,0.2,1.000,0.2,0.7,0.9,0.2,0.2,0.1,0.4,0.9,2.9
101,Brandon Davies,PF,22,PHI,16,0,11.6,0.8,2.3,.324,0.0,0.2,.000,0.8,2.1,.353,0.6,0.9,.667,0.8,1.3,2.1,0.8,0.5,0.2,0.6,1.5,2.1
102,Anthony Davis,C,20,NOP,16,16,33.6,7.0,14.1,.498,0.0,0.0,,7.0,14.1,.498,4.8,5.7,.846,3.8,6.4,10.2,1.6,1.6,3.6,1.4,3.1,18.8
103,Ed Davis,PF,24,MEM,15,2,15.5,2.5,4.7,.529,0.0,0.0,,2.5,4.7,.529,0.9,1.7,.538,1.5,2.7,4.3,0.7,0.1,0.9,0.5,1.8,5.9
104,Glen Davis,PF,28,ORL,7,5,31.1,6.1,12.3,.500,0.1,0.1,1.000,6.0,12.1,.494,1.6,2.4,.647,1.6,3.4,5.0,1.7,1.6,0.3,2.3,3.6,14.0
105,Austin Daye,SF,25,TOR,4,0,3.0,0.3,1.3,.200,0.0,1.0,.000,0.3,0.3,1.000,0.0,0.0,,0.3,0.8,1.0,0.3,0.0,0.0,0.0,1.0,0.5
106,Nando De Colo,SF,26,SAS,6,0,9.0,1.0,2.2,.462,0.7,1.7,.400,0.3,0.5,.667,0.0,0.2,.000,0.2,1.5,1.7,1.7,0.5,0.0,1.2,1.0,2.7
